cp	min_split	min_bucket	max_depth	ganancia_promedio
-0.9	1000	50	4	8496000
-0.9	1000	50	6	9716000
-0.9	1000	50	8	8994667
-0.9	1000	50	10	8854000
-0.9	1000	50	12	8527333
-0.9	1000	50	14	8477333
-0.9	1000	20	4	7829333
-0.9	1000	20	6	9627333
-0.9	1000	20	8	9177333
-0.9	1000	20	10	8616000
-0.9	1000	20	12	8662667
-0.9	1000	20	14	8457333
-0.9	1000	10	4	8070000
-0.9	1000	10	6	9334000
-0.9	1000	10	8	9246667
-0.9	1000	10	10	8884667
-0.9	1000	10	12	8672000
-0.9	1000	10	14	8567333
-0.9	1000	5	4	8058000
-0.9	1000	5	6	9302667
-0.9	1000	5	8	9674000
-0.9	1000	5	10	8885333
-0.9	1000	5	12	9058667
-0.9	1000	5	14	8870667
-0.9	1000	3	4	7809333
-0.9	1000	3	6	9296667
-0.9	1000	3	8	9476000
-0.9	1000	3	10	9138000
-0.9	1000	3	12	8798000
-0.9	1000	3	14	8846667
-0.9	1000	2	4	7828667
-0.9	1000	2	6	9320667
-0.9	1000	2	8	9397333
-0.9	1000	2	10	9206667
-0.9	1000	2	12	8705333
-0.9	1000	2	14	8494667
-0.9	800	50	4	8399333
-0.9	800	50	6	9827333
-0.9	800	50	8	8799333
-0.9	800	50	10	8168667
-0.9	800	50	12	7834000
-0.9	800	50	14	7748000
-0.9	800	20	4	7736667
-0.9	800	20	6	9582000
-0.9	800	20	8	8890667
-0.9	800	20	10	8015333
-0.9	800	20	12	8037333
-0.9	800	20	14	7799333
-0.9	800	10	4	7982000
-0.9	800	10	6	9233333
-0.9	800	10	8	9293333
-0.9	800	10	10	8622000
-0.9	800	10	12	8386667
-0.9	800	10	14	8296667
-0.9	800	5	4	7974000
-0.9	800	5	6	9217333
-0.9	800	5	8	9606000
-0.9	800	5	10	8376667
-0.9	800	5	12	8620667
-0.9	800	5	14	8400000
-0.9	800	3	4	7806667
-0.9	800	3	6	9284667
-0.9	800	3	8	9327333
-0.9	800	3	10	8606667
-0.9	800	3	12	8211333
-0.9	800	3	14	7893333
-0.9	800	2	4	7828000
-0.9	800	2	6	9308667
-0.9	800	2	8	9254000
-0.9	800	2	10	8975333
-0.9	800	2	12	8480000
-0.9	800	2	14	7698667
-0.9	600	50	4	8399333
-0.9	600	50	6	9918667
-0.9	600	50	8	8840000
-0.9	600	50	10	8126000
-0.9	600	50	12	7656000
-0.9	600	50	14	7624667
-0.9	600	20	4	7726667
-0.9	600	20	6	9696667
-0.9	600	20	8	8934667
-0.9	600	20	10	7716000
-0.9	600	20	12	7781333
-0.9	600	20	14	7327333
-0.9	600	10	4	7976667
-0.9	600	10	6	9386000
-0.9	600	10	8	9386000
-0.9	600	10	10	8686667
-0.9	600	10	12	8554667
-0.9	600	10	14	8356667
-0.9	600	5	4	7968667
-0.9	600	5	6	9224667
