max_depth	min_split	peso_error	ganancia_promedio
4	1000	1	8486667
4	1000	10	9564667
4	1000	20	9507333
4	1000	40	9946000
4	1000	60	9592667
4	800	1	8486667
4	800	10	9564667
4	800	20	9494000
4	800	40	9932667
4	800	60	9592667
4	600	1	8468667
4	600	10	9564667
4	600	20	9481333
4	600	40	9932667
4	600	60	9592667
4	400	1	8468667
4	400	10	9552667
4	400	20	9481333
4	400	40	9932667
4	400	60	9592667
4	200	1	8468667
4	200	10	9594000
4	200	20	9522667
4	200	40	9967333
4	200	60	9568000
4	100	1	8468667
4	100	10	9594000
4	100	20	9522667
4	100	40	9967333
4	100	60	9568000
4	50	1	8468667
4	50	10	9594000
4	50	20	9537333
4	50	40	9967333
4	50	60	9568000
4	20	1	8468667
4	20	10	9594000
4	20	20	9537333
4	20	40	9967333
4	20	60	9568000
4	10	1	8476667
4	10	10	9598667
4	10	20	9539333
4	10	40	9967333
4	10	60	9568000
6	1000	1	9533333
6	1000	10	10698000
6	1000	20	10962000
6	1000	40	10512667
6	1000	60	9734000
6	800	1	9488667
6	800	10	10938667
6	800	20	11055333
6	800	40	10447333
6	800	60	9767333
6	600	1	9477333
6	600	10	10970000
6	600	20	10942667
6	600	40	10452000
6	600	60	9689333
6	400	1	9454000
6	400	10	10910667
6	400	20	10959333
6	400	40	10529333
6	400	60	9670667
6	200	1	9451333
6	200	10	11031333
6	200	20	11094000
6	200	40	10440667
6	200	60	9662000
6	100	1	9452000
6	100	10	11026000
6	100	20	11167333
6	100	40	10470000
6	100	60	9666000
6	50	1	9436667
6	50	10	11062667
6	50	20	11165333
6	50	40	10533333
6	50	60	9721333
6	20	1	9500667
6	20	10	11101333
6	20	20	11230667
6	20	40	10596000
6	20	60	9794667
6	10	1	9455333
6	10	10	11138667
6	10	20	11261333
6	10	40	10532667
6	10	60	9759333
8	1000	1	9134000
8	1000	10	10292000
8	1000	20	10545333
8	1000	40	10098000
8	1000	60	8963333
8	800	1	9067333
8	800	10	10540667
8	800	20	10482000
8	800	40	9915333
8	800	60	8732000
8	600	1	9090667
8	600	10	10488000
8	600	20	10200000
8	600	40	9916667
8	600	60	8702000
8	400	1	9040000
8	400	10	9789333
8	400	20	10198000
8	400	40	9843333
8	400	60	8920000
8	200	1	9018667
8	200	10	10108667
8	200	20	10440000
8	200	40	9500667
8	200	60	8844667
8	100	1	9037333
8	100	10	10018667
8	100	20	10425333
8	100	40	9784000
8	100	60	9052667
8	50	1	9053333
8	50	10	10080667
8	50	20	10308000
8	50	40	10034667
8	50	60	9341333
8	20	1	9155333
8	20	10	10203333
8	20	20	10502000
8	20	40	10172000
8	20	60	9528000
8	10	1	9087333
8	10	10	10222000
8	10	20	10513333
8	10	40	10126000
8	10	60	9558667
10	1000	1	8734667
10	1000	10	9738000
10	1000	20	9759333
10	1000	40	9559333
10	1000	60	8612667
10	800	1	8640667
10	800	10	9824667
10	800	20	9660667
10	800	40	9018000
10	800	60	8230667
10	600	1	8622000
10	600	10	9780000
10	600	20	9547333
10	600	40	9140000
10	600	60	8278667
10	400	1	8364667
10	400	10	8918667
10	400	20	9354667
10	400	40	9476000
10	400	60	8634667
10	200	1	8379333
10	200	10	9224000
10	200	20	9198000
10	200	40	8948667
10	200	60	8479333
10	100	1	8454000
10	100	10	9119333
10	100	20	9318667
10	100	40	9150667
10	100	60	8854667
10	50	1	8459333
10	50	10	9214667
10	50	20	9298667
10	50	40	9522000
10	50	60	9294667
10	20	1	8555333
