fecha	cp	minsplit	minbucket	maxdepth	xval_folds	ganancia	iteracion	
20220521 020538	-0,790604781099229	1993	993	11	5	11293000	101	-0,790604781
20220521 023612	-0,288730771458674	2007	1001	16	5	11291000	127	-0,288730771
20220521 023453	-0,367311719363366	1964	979	20	5	11123000	126	-0,367311719
20220520 213749	-0,683490855757622	1978	983	12	5	11121000	21	-0,683490856
20220521 021036	-0,618569892951019	1978	988	9	5	11117000	106	-0,618569893
20220521 020017	-0,951332325322962	1979	988	11	5	11117000	97	-0,951332325
20220521 014940	-0,982222572039815	1974	985	9	5	11116000	89	-0,982222572
20220521 014659	-0,893512835188743	1920	959	11	5	11116000	87	-0,893512835
20220521 011946	-0,998997302991123	1940	967	12	5	11115000	64	-0,998997303
20220521 023730	-0,332857843006153	1982	987	16	5	11115000	128	-0,332857843
20220521 015404	-0,731077803134984	1929	960	11	5	11114000	92	-0,731077803
20220521 020731	-0,761750320365083	1978	989	13	5	11114000	103	-0,76175032
20220520 220322	-0,390260329529032	1949	974	19	5	11114000	45	-0,39026033
20220521 023850	-0,258784506866016	2013	999	19	5	11100000	129	-0,258784507
20220521 013254	-0,545238053530566	1915	953	14	5	11043000	74	-0,545238054
20220521 014115	-0,661901059940046	1917	956	14	5	11042000	80	-0,66190106
20220521 015529	-0,318627930064629	1577	522	20	5	11014000	93	-0,31862793
20220521 015900	-0,627485551233316	1481	484	15	5	11004000	96	-0,627485551
20220521 014825	-0,370243630672141	1520	482	20	5	11004000	88	-0,370243631
20220521 020304	-0,99972340962216	1385	525	12	5	10986000	99	-0,99972341
20220521 020143	-0,356829861962543	1695	507	17	5	10963000	98	-0,356829862
20220521 014419	-0,247742834238075	1771	531	20	5	10963000	84	-0,247742834
20220521 015116	-0,558800817955517	1679	500	20	5	10963000	90	-0,558800818
20220521 011314	-0,774128091538334	1868	929	15	5	10929000	58	-0,774128092
20220521 013131	-0,999810630673657	1466	271	10	5	10875000	73	-0,999810631
20220521 014605	-0,258331023829355	1506	478	13	5	10875000	86	-0,258331024
20220521 014303	-0,575670072583602	1517	385	14	5	10854000	82	-0,575670073
20220521 020421	-0,689635500258837	1877	938	12	5	10830000	100	-0,6896355
20220521 013533	-0,915733489514416	1966	315	12	5	10681000	76	-0,91573349
20220521 005854	-0,521949365222842	1252	515	11	5	10591000	50	-0,521949365
20220521 015243	-0,490334635519806	1710	442	20	5	10582000	91	-0,490334636
20220521 012558	-0,998748490799718	1748	872	20	5	10560000	69	-0,998748491
20220521 010127	-0,259395326379358	1784	891	15	5	10556000	51	-0,259395326
20220521 010639	-0,694136606606355	1869	282	11	5	10521000	53	-0,694136607
20220520 214204	-0,619086718148931	1595	794	12	5	10501000	27	-0,619086718
20220521 022107	-0,999783529652995	1313	384	10	5	10488000	115	-0,99978353
20220521 011449	-0,296010170108017	1196	597	16	5	10488000	59	-0,29601017
20220520 214334	-0,504961250571195	1569	780	20	5	10484000	29	-0,504961251
20220520 213917	-0,646315086031608	945	288	11	5	10479000	24	-0,646315086
20220520 220129	-0,999336802372647	1282	641	19	5	10472000	42	-0,999336802
20220521 012158	-0,923915848083641	2652	964	12	5	10468000	66	-0,923915848
20220520 214116	-0,450364981835501	2118	1020	9	5	10464000	26	-0,450364982
