fecha	cp	minsplit	minbucket	maxdepth	xval_folds	ganancia	iteracion
20220525 141103	-0.649913885437127	4548	1427	7	5	9409000	1
20220525 141214	-0.408215595931688	4306	1220	11	5	9149000	2
20220525 141333	-0.0692446565299177	2381	336	13	5	9714000	3
20220525 141407	-0.657843915258127	3357	593	4	5	9960000	4
20220525 141442	0.0326253176463069	5308	870	20	5	0	5
20220525 141535	-0.370945495444175	6364	966	9	5	10063000	6
20220525 141630	-0.745256061483815	3666	1335	9	5	9341000	7
20220525 141801	-0.141933713115577	6811	94	15	5	9193000	8
20220525 141828	-0.243754675115633	5945	1583	3	5	8249000	9
20220525 141938	-0.803227544350375	1449	639	17	5	10861000	10
20220525 142022	-0.948308050367632	7174	128	6	5	8487000	11
20220525 142118	-0.86921548491373	7917	1920	17	5	8582000	12
20220525 142209	-0.225768669047102	2516	448	7	5	9593000	13
20220525 142253	-0.79381170043877	3615	135	6	5	9215000	14
20220525 142346	-0.269295467110351	7866	1208	18	5	8582000	15
20220525 142439	-0.507945754355751	5897	1159	9	5	9900000	16
20220525 142632	-0.681398232069937	4	2	16	5	7216000	17
20220525 142706	0.0817288194907026	2	1	17	5	0	18
20220525 142738	-0.119914126923534	585	91	3	5	9017000	19
20220525 142851	-0.844944418309996	1554	777	20	5	10215000	20
20220525 142935	-0.577122572799706	7139	326	3	5	8558000	21
20220525 143032	-0.327863969960178	2997	2	8	5	9436000	22
20220525 143134	-0.7996135002036	3806	897	20	5	9570000	23
20220525 143246	-0.821870938912471	1548	771	12	5	10204000	24
20220525 143409	-0.139496365014434	2887	13	14	5	8738000	25
20220525 143506	-0.440529778568277	7946	10	9	5	8360000	26
20220525 143541	-0.54464004042959	2851	1017	3	5	8939000	27
20220525 143746	-0.810247045907218	9	4	20	5	4144000	28
20220525 143852	-0.349394859920655	7998	701	14	5	8582000	29
20220525 143956	-0.953472079844203	2073	1034	17	5	10010000	30
20220525 144112	-0.604402589889089	1845	403	16	5	9753000	31
20220525 144217	-0.119126574670328	5540	262	11	5	10158000	32
20220525 144325	-0.735288204238419	1509	753	15	5	10268000	33
20220525 144432	-0.591733674868677	1355	517	10	5	10072000	34
20220525 144544	-0.925761244128886	2876	497	15	5	9741000	35
20220525 144644	-0.898051586673219	1491	744	7	5	10325000	36
20220525 144734	-0.10226343364827	7999	1999	9	5	8582000	37
20220525 144847	-0.635246654784321	3141	1567	18	5	9036000	38
20220525 144932	-0.802392444955426	7986	942	6	5	8582000	39
20220525 145001	-0.99958601159831	867	432	3	5	9017000	40
20220525 145059	-0.120698201167103	2224	1100	9	5	9851000	41
20220525 145158	-0.838309738817779	7742	679	18	5	8558000	42
20220525 145308	-0.843068228648084	1508	751	17	5	10268000	43
20220525 145356	-0.780785037037402	1809	568	6	5	10703000	44
20220525 145426	-0.999353722225305	3845	1922	3	5	8346000	45
20220525 145514	-0.509738739350651	7997	2000	8	5	8582000	46
20220525 145542	-0.0951539927578766	7998	453	3	5	8582000	47
20220525 145611	-0.935225605964745	4902	615	3	5	8922000	48
20220525 145726	-0.753282068703846	1094	547	13	5	10819000	49
20220525 145823	-0.755715073941421	1245	619	8	5	10540000	50
20220525 145928	-0.68784026513345	2174	497	11	5	9986000	51
20220525 150033	-0.121349707133725	1084	513	10	5	9983000	52
20220525 150133	-0.999515534598519	2582	1290	20	5	9225000	53
20220525 150244	-0.630464953906072	1314	643	20	5	10484000	54
20220525 150326	-0.897665158607376	2838	1418	5	5	9172000	55
20220525 150439	-0.779468521878146	1229	602	17	5	10758000	56
20220525 150509	-0.386632756608179	749	373	3	5	9017000	57
20220525 150559	-0.16419409417914	7998	1202	8	5	8582000	58
20220525 150655	-0.303656558468615	1960	974	8	5	10068000	59
20220525 150814	-0.797155639186448	2490	575	13	5	10235000	60
20220525 150923	-0.526493271682169	1274	632	13	5	10435000	61
20220525 151035	-0.287164088264576	1675	262	12	5	10147000	62
20220525 151129	-0.643366923666393	7998	1354	18	5	8582000	63
20220525 151220	-0.287941759231425	7985	1999	17	5	8582000	64
