fecha	num.trees	max.depth	min.node.size	mtry	xval_folds	ganancia	iteracion
20220522 230331	528	20	138	9	5	10927000	1
20220523 001018	1715	11	314	31	5	11223000	2
20220523 001729	1199	26	15	2	5	11343000	3
20220523 004858	1345	6	206	36	5	10936000	4
20220523 015520	1583	17	303	27	5	10781000	5
20220523 020411	131	25	350	39	5	9619000	6
20220523 030633	2285	15	51	18	5	10847000	7
20220523 052325	1883	21	454	43	5	10370000	8
20220523 053420	613	12	228	13	5	11398000	9
20220523 144606	575	17	469	27	5	10847000	10
20220523 151443	1802	8	137	17	5	11481000	11
20220523 153103	884	19	403	11	5	11420000	12
20220523 155133	540	8	116	43	5	10677000	13
20220523 230453	1095	14	127	46	5	10842000	14
20220523 234635	1925	25	160	31	5	9750000	15
20220523 235856	1205	10	334	23	5	11107000	16
20220524 001030	573	22	296	29	5	10292000	17
20220524 003625	1824	16	117	23	5	10587000	18
20220524 011824	1624	26	455	37	5	10120000	19
20220524 020255	1558	30	70	39	5	8314000	20
20220524 020643	524	20	196	9	5	11307000	21
20220524 020753	972	1	233	19	5	1903000	22
20220524 021638	2128	13	37	5	5	11188000	23
20220524 023359	2281	4	416	44	5	10522000	24
20220524 023708	318	11	1	16	5	10675000	25
20220524 025918	2406	27	388	13	5	11344000	26
20220524 030120	171	5	347	49	5	10696000	27
20220524 030257	748	7	486	3	5	9765000	28
20220524 033503	1426	19	276	34	5	10239000	29
20220524 041532	2486	8	500	50	5	10843000	30
20220524 045744	2499	12	500	32	5	11086000	31
20220524 050016	571	14	500	5	5	11375000	32
20220524 050711	2089	23	500	3	5	11218000	33
20220524 050804	112	26	499	8	5	11138000	34
20220524 051009	100	10	466	40	5	11271000	35
20220524 051456	2182	11	500	2	5	10482000	36
20220524 052230	2500	26	500	2	5	11225000	37
20220524 052308	101	20	500	2	5	11040000	38
20220524 053014	467	13	404	26	5	11387000	39
20220524 055634	1954	6	500	50	5	10538000	40
20220524 060413	2500	21	159	2	5	11072000	41
20220524 060728	1063	27	500	2	5	11331000	42
20220524 060804	100	14	194	2	5	11152000	43
20220524 061016	103	9	204	50	5	10887000	44
20220524 062858	2500	14	366	12	5	11517000	45
20220524 062938	100	19	1	2	5	9889000	46
20220524 064112	1412	21	419	11	5	11394000	47
20220524 064745	892	13	298	11	5	11040000	48
20220524 064941	100	14	500	29	5	10891000	49
20220524 073644	2493	10	50	41	5	11028000	50
20220524 074815	2500	16	356	6	5	11518000	51
20220524 075900	2151	30	500	6	5	11621000	52
20220524 080854	2152	29	232	5	5	11393000	53
20220524 081655	1311	29	499	8	5	11457000	54
20220524 083358	2500	20	326	9	5	11372000	55
20220524 084141	2500	30	440	2	5	11109000	56
20220524 085126	1950	27	397	6	5	11572000	57
20220524 092236	1465	11	370	44	5	11190000	58
20220524 093448	2256	28	500	7	5	11727000	59
20220524 093648	100	11	170	32	5	10830000	60
20220524 105652	2373	21	500	50	5	10313000	61
20220524 112927	2500	14	455	20	5	11250000	62
20220524 114257	2499	15	182	7	5	11235000	63
20220524 121808	2489	8	390	39	5	11148000	64
20220524 122137	350	17	487	13	5	11145000	65
20220524 122655	980	24	240	6	5	11592000	66
20220524 123032	683	22	324	6	5	11488000	67
20220524 124555	2269	24	150	9	5	11288000	68
20220524 130440	2500	30	500	10	5	11578000	69
20220524 130812	100	17	423	50	5	10631000	70
20220524 131425	2500	14	358	2	5	10708000	71
20220524 133226	2378	16	500	11	5	11741000	72
20220524 134246	1899	17	500	7	5	11567000	73
20220524 140449	2500	16	438	13	5	11624000	74
20220524 143555	2500	11	409	25	5	11426000	75
20220524 143731	100	11	500	24	5	11005000	76
20220524 143758	104	10	3	2	5	10051000	77
20220524 150810	2463	12	1	23	5	11010000	78
20220524 150922	145	15	379	8	5	11742000	79
20220524 151008	102	27	202	2	5	11087000	80
20220524 151826	1309	16	379	9	5	11695000	81
20220524 153301	2163	16	388	10	5	11542000	82
