fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia	iteracion
20220525 143625	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	10	TRUE	0.24968314957025	0.637113847574219	862	317	0.0155874320955869	10584000	1
20220525 143701	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	263	TRUE	0.123676766858087	0.649733148654923	4845	665	0.00938407736684894	12159000	2
20220525 143716	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	18	TRUE	0.183106436772854	0.532094796271995	2513	713	0.018386869180055	12327000	3
20220525 143738	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	106	TRUE	0.151808865136351	0.512218286534771	6978	596	0.0242736597147693	12362000	4
20220525 143752	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	28	TRUE	0.233246506069787	0.378299916619435	2815	402	0.0328790834066846	9946000	5
20220525 143812	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	74	TRUE	0.0887545207667863	0.852693041618913	2213	52	0.0397265023129876	9263000	6
20220525 143823	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	28	TRUE	0.210564424921526	0.754875837871805	4495	178	0.0196869914158015	12555000	7
20220525 143842	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	73	TRUE	0.166181127806311	0.426358005814254	3816	995	0.0257374970936022	11800000	8
20220525 143901	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	69	TRUE	0.0793820185681106	0.585535335270688	7256	86	0.0352363311307272	10634000	9
20220525 143929	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	140	TRUE	0.0453498599684099	0.262701519513503	6604	463	0.0276885712858833	12026000	10
20220525 143953	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	35	TRUE	0.104877658716985	0.455222324039787	770	342	0.0361148627935715	8883000	11
20220525 144003	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	33	TRUE	0.260640940298676	0.791434328211472	4227	808	0.0298455694704899	10900000	12
20220525 144013	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	12	TRUE	0.283863503521774	0.348776078112423	3544	899	0.0466487715622255	7211000	13
20220525 144034	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	108	TRUE	0.0588830182034289	0.937023084415123	5376	771	0.0215292937364817	12520000	14
20220525 144046	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	34	TRUE	0.223749563359772	0.225540833836421	5621	559	0.0137129611001001	12564000	15
20220525 144057	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	15	TRUE	0.291030324629275	0.988188447784633	1848	131	0.0489709603813632	7220000	16
20220525 144256	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	50	TRUE	0.027861256597098	0.817455673618242	86	929	0.0381776796008732	4715000	17
20220525 144312	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	49	TRUE	0.128210287889349	0.31615869993344	6361	870	0.0441190167684302	8330000	18
20220525 144415	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	588	TRUE	0.0189473414364038	0.886340224640444	7913	241	0.0432206932275828	9203000	19
20220525 144431	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	41	TRUE	0.186848459071596	0.708759781839326	1344	510	0.0118484105473423	12194000	20
20220525 144444	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	35	TRUE	0.137672901297014	0.784537002779323	4862	509	0.0194065340515451	12746000	21
20220525 144457	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	54	TRUE	0.19195004692941	0.216696609230642	5286	794	0.0204144278202657	13082000	22
20220525 144549	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	371	TRUE	0.030241848319182	0.200723005721725	5216	115	0.0208713690217458	13011000	23
20220525 144620	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	153	TRUE	0.0500340100627653	0.201416507677135	2849	536	0.0119779690020044	12853000	24
20220525 144648	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	124	TRUE	0.0931352856421722	0.213266816714399	4427	617	0.0200142401509129	12631000	25
20220525 144707	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	78	TRUE	0.21557719029665	0.458083701497316	5722	1024	0.0187741132999957	12784000	26
20220525 144729	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	118	TRUE	0.171640493205812	0.214427264429824	2295	872	0.0083375047857039	11807000	27
20220525 144859	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	424	TRUE	0.0108508357117588	0.716566858236328	2746	137	0.0117970575901594	12909000	28
20220525 144916	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	58	TRUE	0.151955804430146	0.362029351437594	5636	151	0.0218349513407938	13084000	29
20220525 144953	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	211	TRUE	0.0505515052686892	0.980624385060217	2735	521	0.0116595386584605	12665000	30
20220525 145031	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	146	TRUE	0.0349145951921247	0.560034609149907	5647	16	0.0202363576235334	13081000	31
20220525 145108	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	169	TRUE	0.0566345555047092	0.482295782054859	5444	222	0.0212042016184265	12602000	32
20220525 145124	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	79	TRUE	0.155104296874942	0.225841429131847	5914	16	0.0195474299219574	12972000	33
20220525 145138	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	46	TRUE	0.144478365089783	0.281471318580862	5317	16	0.0237121388735171	12899000	34
20220525 145257	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	558	TRUE	0.0163160772650562	0.224786415857258	3137	16	0.0150601527561681	13376000	35
20220525 145424	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	506	TRUE	0.010237258531664	0.204451829186748	2302	16	0.0184780285969899	13607000	36
20220525 145558	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	605	TRUE	0.0102039081358054	0.203618206760422	1739	16	0.0129228881668545	13102000	37
