fecha	gamma	alpha	lambda	subsample	tree_method	grow_policy	max_bin	max_leaves	scale_pos_weight	eta	colsample_bytree	min_child_weight	max_depth	prob_corte	nrounds	ganancia	iteracion
20220529 025744	0	0	0	1	auto	depthwise	256	0	1	0.175415061693406	0.673516798466444	7	25	0.0201246052660281	10	11976000	1
20220529 030433	0	0	0	1	auto	depthwise	256	0	1	0.0705014239352895	0.533763361694291	6	16	0.0297253373568916	36	10051000	2
20220529 031215	0	0	0	1	auto	depthwise	256	0	1	0.100291458156658	0.762547977035865	8	19	0.0353318173321895	29	8866000	3
20220529 031519	0	0	0	1	auto	depthwise	256	0	1	0.239052633382962	0.583728022417054	5	12	0.0179725529849141	4	10399000	4
20220529 032026	0	0	0	1	auto	depthwise	256	0	1	0.212226753037539	0.753576327860355	8	30	0.0161196358366093	8	11445000	5
20220529 032505	0	0	0	1	auto	depthwise	256	0	1	0.138701050243457	0.481180830672383	6	16	0.0453364037695186	30	7680000	6
20220529 032614	0	0	0	1	auto	depthwise	256	0	1	0.193724704796216	0.417372495383024	2	3	0.0365930869418662	29	9744000	7
20220529 035400	0	0	0	1	auto	depthwise	256	0	1	0.0222860897534993	0.717913758456707	4	19	0.041713023907505	150	7573000	8
20220529 040456	0	0	0	1	auto	depthwise	256	0	1	0.0494109582804376	0.856848189318553	4	10	0.0225650135408311	63	11879000	9
20220529 040656	0	0	0	1	auto	depthwise	256	0	1	0.0883761438156944	0.445727984523401	3	5	0.0088612801215883	8	12260000	10
20220529 040930	0	0	0	1	auto	depthwise	256	0	1	0.168753931760904	0.336739470707253	0	23	0.0107569574000081	1	4149000	11
20220529 041203	0	0	0	1	auto	depthwise	256	0	1	0.152270178164705	0.263967411657795	10	23	0.0459811541630188	25	7558000	12
20220529 041845	0	0	0	1	auto	depthwise	256	0	1	0.225258532248088	0.830311873331666	5	27	0.0486563387302643	17	6343000	13
20220529 042014	0	0	0	1	auto	depthwise	256	0	1	0.270301527065109	0.308396876109764	9	7	0.0255975941137876	21	10499000	14
20220529 042714	0	0	0	1	auto	depthwise	256	0	1	0.0325606087774504	0.369867962636054	2	8	0.0403784613173533	106	8888000	15
20220529 042905	0	0	0	1	auto	depthwise	256	0	1	0.277615318729309	0.896190278474241	10	2	0.0324350920248738	77	10123000	16
20220529 045920	0	0	0	1	auto	depthwise	256	0	1	0.054142765519442	0.977738263495266	0	28	0.0142572608170061	113	889000	17
20220529 050404	0	0	0	1	auto	depthwise	256	0	1	0.24265012228128	0.931531847659498	2	11	0.028522466942862	7	7258000	18
20220529 050539	0	0	0	1	auto	depthwise	256	0	1	0.286961967224372	0.204777044784278	1	14	0.0387498250294205	1	6691000	19
20220529 051108	0	0	0	1	auto	depthwise	256	0	1	0.124998935972457	0.608758984282613	8	22	0.0240643690277163	18	10129000	20
20220529 052132	0	0	0	1	auto	depthwise	256	0	1	0.0105037874623172	0.77494742413668	4	2	0.0106468266937149	376	12306000	21
20220529 052647	0	0	0	1	auto	depthwise	256	0	1	0.153094235913092	0.999416174648889	7	8	0.00834383106666097	27	10598000	22
20220529 052922	0	0	0	1	auto	depthwise	256	0	1	0.0462624744896376	0.242371888287673	4	3	0.0189726881212943	191	12817000	23
20220529 053118	0	0	0	1	auto	depthwise	256	0	1	0.222889490365284	0.204994144835974	7	30	0.00834054285613825	13	10543000	24
20220529 053307	0	0	0	1	auto	depthwise	256	0	1	0.0507214758928461	0.248591352377348	3	2	0.0201004950711201	174	13143000	25
20220529 054501	0	0	0	1	auto	depthwise	256	0	1	0.0100840084704412	0.430619970206052	3	2	0.020199160709237	1024	12752000	26
20220529 054610	0	0	0	1	auto	depthwise	256	0	1	0.116456070287064	0.200439753599014	3	2	0.0192740080984113	118	12733000	27
20220529 055337	0	0	0	1	auto	depthwise	256	0	1	0.0110434236832227	0.200371187456164	3	2	0.0129965139665448	1039	12981000	28
20220529 055939	0	0	0	1	auto	depthwise	256	0	1	0.299933342067692	0.998997300856782	7	29	0.0186612272078402	9	10637000	29
20220529 064603	0	0	0	1	auto	depthwise	256	0	1	0.0113634513873817	0.862459671930205	7	30	0.00845284864427642	104	12125000	30
20220529 064845	0	0	0	1	auto	depthwise	256	0	1	0.0347724379188413	0.200059847171059	3	4	0.0193292178658768	129	12917000	31
20220529 065630	0	0	0	1	auto	depthwise	256	0	1	0.0980637059620619	0.812831296335256	6	26	0.00834752862066176	4	11698000	32
20220529 070142	0	0	0	1	auto	depthwise	256	0	1	0.193201074245757	0.876616122923403	10	30	0.00834226325343011	3	10981000	33
20220529 070242	0	0	0	1	auto	depthwise	256	0	1	0.23962210721638	0.291592740415237	10	2	0.00834111283225292	90	11445000	34
20220529 070434	0	0	0	1	auto	depthwise	256	0	1	0.044716527377524	0.20017801585953	3	2	0.0225156535458488	217	12725000	35
20220529 071222	0	0	0	1	auto	depthwise	256	0	1	0.0218707669670089	0.303965237492239	7	2	0.0146501254751154	1025	13291000	36
20220529 072710	0	0	0	1	auto	depthwise	256	0	1	0.010851370246029	0.672514884430601	7	2	0.0169842126639911	953	12950000	37
20220529 073113	0	0	0	1	auto	depthwise	256	0	1	0.0261707846156818	0.340898808492055	6	2	0.0135347279326534	370	12922000	38
20220529 073311	0	0	0	1	auto	depthwise	256	0	1	0.0663010930175871	0.365528127058223	7	2	0.0156344688268407	156	13430000	39
20220529 073552	0	0	0	1	auto	depthwise	256	0	1	0.0568788103311574	0.376664052101818	7	2	0.00910862284686508	248	11859000	40
20220529 080439	0	0	0	1	auto	depthwise	256	0	1	0.0127927961625545	0.351664538045804	7	30	0.0158865246096515	396	12900000	41
20220529 080614	0	0	0	1	auto	depthwise	256	0	1	0.0555921602515591	0.245599949867332	7	2	0.0178793437195158	130	13246000	42
20220529 081148	0	0	0	1	auto	depthwise	256	0	1	0.0495863520527747	0.376602895729486	7	10	0.0157949668420186	81	12870000	43
20220529 082449	0	0	0	1	auto	depthwise	256	0	1	0.0117236948298636	0.293242556821289	10	2	0.0155840975304012	1747	13374000	44
20220529 082742	0	0	0	1	auto	depthwise	256	0	1	0.0529292952845336	0.347238804025988	9	2	0.0153548636365271	273	13285000	45
20220529 082944	0	0	0	1	auto	depthwise	256	0	1	0.09046404534752	0.316065064230876	10	2	0.0159832784939346	217	13566000	46
20220529 083249	0	0	0	1	auto	depthwise	256	0	1	0.0710443259397981	0.790374352335416	10	2	0.0153201179377957	144	13194000	47
20220529 083847	0	0	0	1	auto	depthwise	256	0	1	0.0563764214496784	0.99968391181049	6	2	0.016723653176515	293	12978000	48
20220529 093643	0	0	0	1	auto	depthwise	256	0	1	0.0125108031267829	0.941435100349532	6	30	0.0160535686967383	196	12817000	49
20220529 093908	0	0	0	1	auto	depthwise	256	0	1	0.0710332604540047	0.421979380348937	10	2	0.0154196780291985	195	13330000	50
20220529 094015	0	0	0	1	auto	depthwise	256	0	1	0.0852586299865925	0.200518498104625	10	2	0.0153962187980738	112	13116000	51
20220529 094128	0	0	0	1	auto	depthwise	256	0	1	0.148390033729578	0.338472933393239	10	2	0.017052554069822	97	13168000	52
20220529 094924	0	0	0	1	auto	depthwise	256	0	1	0.040061728720525	0.999798830058949	10	2	0.0170304166825561	408	12902000	53
20220529 100200	0	0	0	1	auto	depthwise	256	0	1	0.0697305482566556	0.841988565935841	7	30	0.0160801305362002	42	12402000	54
20220529 100413	0	0	0	1	auto	depthwise	256	0	1	0.0661155156759799	0.32322467472329	10	2	0.0164494962689005	208	13559000	55
