fecha	gamma	alpha	lambda	subsample	tree_method	grow_policy	max_bin	max_depth	scale_pos_weight	eta	colsample_bytree	min_child_weight	max_leaves	prob_corte	nrounds	ganancia	iteracion
20220529 130019	0	0	0	1	hist	lossguide	256	0	1	0.269355900237802	0.608833802528679	3	341	0.0305823470334872	2	8477000	1
20220529 130048	0	0	0	1	hist	lossguide	256	0	1	0.187462825400638	0.708562422087416	9	819	0.0445291886790074	17	7596000	2
20220529 130113	0	0	0	1	hist	lossguide	256	0	1	0.254902945736307	0.344964181659743	9	115	0.0238160429211954	12	10172000	3
20220529 130155	0	0	0	1	hist	lossguide	256	0	1	0.122673524974729	0.786763029778376	2	465	0.0163429004707723	11	9742000	4
20220529 130227	0	0	0	1	hist	lossguide	256	0	1	0.167303346809233	0.529518113946542	8	1005	0.0345038021885557	24	8884000	5
20220529 130330	0	0	0	1	hist	lossguide	256	0	1	0.0616402050319593	0.95411612582393	3	457	0.0326699669468023	29	7983000	6
20220529 130400	0	0	0	1	hist	lossguide	256	0	1	0.183121170684462	0.587885245708749	4	166	0.020434545011085	5	9827000	7
20220529 130435	0	0	0	1	hist	lossguide	256	0	1	0.133375060386839	0.458152924757451	5	542	0.0359558596363058	20	7500000	8
20220529 130501	0	0	0	1	hist	lossguide	256	0	1	0.275249390645302	0.381823952123523	6	635	0.00909025102446321	13	10618000	9
20220529 130532	0	0	0	1	hist	lossguide	256	0	1	0.202665143788443	0.857712786225602	10	236	0.0489888917184241	30	6718000	10
20220529 130921	0	0	0	1	hist	lossguide	256	0	1	0.0143849069216521	0.667925022747368	1	864	0.0392184166586958	104	3839000	11
20220529 131728	0	0	0	1	hist	lossguide	256	0	1	0.0266994890781352	0.279546436564997	0	893	0.0216270656591708	199	1039000	12
20220529 131805	0	0	0	1	hist	lossguide	256	0	1	0.218171137424768	0.74791400320828	1	736	0.0258220632759427	5	7333000	13
20220529 131854	0	0	0	1	hist	lossguide	256	0	1	0.0726249365266412	0.431674571670592	4	52	0.0403630420357028	49	7581000	14
20220529 131929	0	0	0	1	hist	lossguide	256	0	1	0.108218143748934	0.495986862620339	10	587	0.0167043947886365	31	12618000	15
20220529 131954	0	0	0	1	hist	lossguide	256	0	1	0.29272482904396	0.801935414345935	6	100	0.0291545204764892	7	9022000	16
20220529 132022	0	0	0	1	hist	lossguide	256	0	1	0.14086950936215	0.303946525910869	0	394	0.0116233548489011	2	1426000	17
20220529 132106	0	0	0	1	hist	lossguide	256	0	1	0.0947705713099567	0.89153406733647	7	931	0.04310780732485	39	7935000	18
20220529 132206	0	0	0	1	hist	lossguide	256	0	1	0.0447191750193015	0.973012350443751	6	291	0.01438994234389	24	12574000	19
20220529 132234	0	0	0	1	hist	lossguide	256	0	1	0.230954302728642	0.220410624453798	7	690	0.0460910631047833	19	6704000	20
20220529 132327	0	0	0	1	hist	lossguide	256	0	1	0.0796689837729599	0.808631227803374	8	609	0.0083414124826905	45	11387000	21
20220529 132357	0	0	0	1	hist	lossguide	256	0	1	0.221144116353979	0.999924251337641	5	494	0.00833932638197129	7	10213000	22
20220529 132713	0	0	0	1	hist	lossguide	256	0	1	0.0101328755262911	0.504287266092363	9	300	0.0138275089865983	208	13502000	23
20220529 132955	0	0	0	1	hist	lossguide	256	0	1	0.0100462744110696	0.524926843629603	10	42	0.0105349703713075	86	12990000	24
20220529 133335	0	0	0	1	hist	lossguide	256	0	1	0.0100987329691158	0.633600809335033	7	229	0.0126285053096374	220	13311000	25
20220529 133625	0	0	0	1	hist	lossguide	256	0	1	0.0100511425268399	0.350638707978498	10	451	0.010792941047716	103	12844000	26
20220529 133949	0	0	0	1	hist	lossguide	256	0	1	0.0100415261120044	0.598678682761826	10	312	0.0130682833617085	246	13566000	27
20220529 134354	0	0	0	1	hist	lossguide	256	0	1	0.010079906619827	0.556953327343929	10	302	0.0171565075496858	427	13320000	28
20220529 134716	0	0	0	1	hist	lossguide	256	0	1	0.0102676765690919	0.644086502121	9	251	0.0140619704733575	209	13400000	29
20220529 134800	0	0	0	1	hist	lossguide	256	0	1	0.0543100291808434	0.518628871752997	10	295	0.00833426504022318	12	12223000	30
20220529 135128	0	0	0	1	hist	lossguide	256	0	1	0.0100718929833649	0.572688503127638	10	881	0.0140725659221385	265	13671000	31
20220529 135545	0	0	0	1	hist	lossguide	256	0	1	0.0100095171536101	0.663714703447324	7	962	0.014466898598925	381	13099000	32
20220529 135913	0	0	0	1	hist	lossguide	256	0	1	0.0100214246407719	0.964325756064456	10	1022	0.0151179411361044	237	13300000	33
