Feature	Gain	Cover	Frequency
ctrx_quarter	0.0823043419622998	0.0258002848456269	0.0335476953943362
mpasivos_margen	0.045446847805887	0.0344749123827972	0.0323986937250319
cliente_edad	0.0337448454047317	0.062062887199503	0.0486029676959068
mcaja_ahorro	0.0333377811307307	0.0179164871027105	0.0282934270403648
mrentabilidad_annual	0.033122261117546	0.0370786058856026	0.0393478873544779
numero_de_cliente	0.0320080804125876	0.0541400802158934	0.0465690573653372
mcuentas_saldo	0.0304890028195087	0.0277367763501523	0.0315196975937974
Visa_Fvencimiento	0.0296892910467253	0.0349077815242972	0.0373179187105955
Master_Fvencimiento	0.0285895134749156	0.0319676188632611	0.034643484293364
Master_fechaalta	0.0276199273044877	0.0234012125164858	0.0308693192904176
cliente_antiguedad	0.0270590255736128	0.038669237439798	0.0384787454399612
cpayroll_trx	0.026527572762215	0.00183603682617692	0.000591253003072545
Visa_fechaalta	0.0258789080753848	0.0272950955396969	0.0303825209845545
chomebanking_trx	0.0246441099162316	0.0176661522723242	0.0257845434639937
mactivos_margen	0.0236127290815581	0.0342399294529986	0.0275799817499906
mcuenta_corriente	0.0234212816111385	0.0407284215487516	0.0315729103640739
mpayroll	0.0221273759622205	0.00349169276018098	0.00148404503771209
Master_mfinanciacion_limite	0.0212082266994274	0.0203958708021376	0.0254987711791753
Visa_mfinanciacion_limite	0.0210513267514296	0.0200677760200448	0.0245645914343207
mrentabilidad	0.01817589279676	0.0210665640618554	0.0228736078455332
mtarjeta_visa_consumo	0.0171698134907207	0.00910913581515478	0.0105341576714092
mcomisiones_otras	0.016237266651694	0.012810596461228	0.0186461488735645
mcomisiones	0.0152308063122159	0.0115065529711959	0.0176410187683412
Visa_mpagospesos	0.0147150715546308	0.00956088206632057	0.0155026537405621
Visa_msaldototal	0.0146993165673831	0.0108247885458831	0.0113481159723057
ctarjeta_visa_trx	0.0136740721357885	0.0055789308105151	0.00833272565663573
mtransferencias_recibidas	0.0136405103948019	0.0184477285229151	0.0177868611757657
Visa_mconsumospesos	0.0133840452663088	0.00900931024420638	0.0155420706074336
ctarjeta_visa_trx2	0.0130760444602736	0.0065825412222702	0.0103193357469595
mprestamos_personales	0.0128063765837541	0.0127185837071856	0.00484827462519487
ccomisiones_otras	0.0125804037946624	0.0131069311776245	0.0154119949467577
Visa_mlimitecompra	0.0125537693748514	0.0155892370121965	0.0168645064909726
Visa_mpagominimo	0.0124855013617303	0.0127973752089758	0.0140402879796294
mcaja_ahorro_dolares	0.0124045668935821	0.0167165091675661	0.0154297325368498
Visa_msaldopesos	0.0122487460876457	0.0107382207434628	0.0118329434348252
Master_mlimitecompra	0.0118837738744913	0.0143250255592497	0.0161747113207213
cproductos	0.00814181915091618	0.0130560927462091	0.0125207677617329
mtransferencias_emitidas	0.00810280609484613	0.00630676697420618	0.00767249313653806
mtarjeta_visa_debitos_automaticos	0.00778956453033258	0.00583937821954212	0.00741037097184256
ctransferencias_recibidas	0.00766965778695353	0.00563277350398485	0.0069551061594767
Visa_cconsumos	0.00728608603594381	0.00497606493660746	0.00906587938044569
mcomisiones_mantenimiento	0.00644919948039236	0.00457184336895074	0.00592041340409975
Visa_mconsumototal	0.0057997678837533	0.004018852757614	0.00676196351180634
mautoservicio	0.00577127954436155	0.0117369369329054	0.00885696998602672
ctarjeta_debito	0.00566617390825943	0.0104052529823663	0.00788534421764417
mpagomiscuentas	0.00543936533005695	0.00374839843110958	0.00366576861904978
ctarjeta_debito_trx	0.00541744863379248	0.00570012472033379	0.00602880978799638
Master_mpagospesos	0.00518849822023523	0.00483895444295333	0.00314940766303309
mcuenta_debitos_automaticos	0.00460706993301046	0.004461541583899	0.0045447647502843
thomebanking	0.00425480489421693	0.00484304232202467	0.00543558594158026
Master_fultimo_cierre	0.00418989890892343	0.0056327017210394	0.00522864739050487
ctransferencias_emitidas	0.00417666026023545	0.00291238488267011	0.0040284037942676
Master_msaldopesos	0.00364310322235038	0.00336400492358945	0.00317108693981242
Visa_mconsumosdolares	0.00363007673020575	0.003580674455054	0.00380964018313076
