Feature	Gain	Cover	Frequency
ctrx_quarter	0.199594268279094	0.0172217811616035	0.0134394915641075
mcuentas_saldo	0.0408807881722182	0.0137249363523979	0.0190839024561527
mtarjeta_visa_consumo	0.0313898564079416	0.0115896634187471	0.0153004792921224
mcaja_ahorro	0.0261663365288605	0.00778438969743008	0.0125441106761004
ctrx_quarter_lag1	0.0249486082014703	0.00682408858397688	0.00870801804806967
mdescubierto_preacordado	0.0215138050637013	0.00175639462017621	0.00165908811601327
foto_mes	0.0192871596759855	0.015570434778465	0.016503098720132
mpayroll	0.0167519980590135	0.011920432960637	0.0054249547920434
cpayroll_trx	0.0167449176152368	0.00792349655864419	0.00466124756403729
ctarjeta_visa	0.0164974859862674	0.000723907716701723	0.000728594252005829
mprestamos_personales	0.0163943520796911	0.00740026182976076	0.00337084569602697
mcuenta_corriente	0.013820390152194	0.00664293644231912	0.0101564283080813
Visa_fultimo_cierre_lag1	0.0119930467201679	0.00278936282931052	0.00589897996804719
mdescubierto_preacordado_delta1	0.0112306702872967	0.00386096610521163	0.0010621675240085
mpasivos_margen	0.0110433016080122	0.0094106416600002	0.0099369722080795
Master_status	0.00997916290689272	0.00186772078694376	0.000754928984006039
mactivos_margen	0.00900993616285497	0.00853270325364536	0.0141680858161133
numero_de_cliente	0.00873278464589351	0.00959147862113088	0.0169859021401359
ctrx_quarter_delta1	0.00863905151433633	0.00671225459249161	0.0118330729120947
cliente_edad	0.00860404697863698	0.00908347383291501	0.01500201899612
cproductos_delta1	0.00829046137839986	0.00427703518745253	0.00140451904001124
Visa_status	0.00815008255297445	0.00108031318612933	0.000667146544005337
mrentabilidad_annual_delta1	0.00810506103702449	0.00684841768587178	0.0130269140961042
cliente_edad_lag1	0.00800550583254378	0.00767891608860751	0.0134307133201074
mrentabilidad_annual	0.00797508493237785	0.0075420724918166	0.0113327130040907
Master_fechaalta	0.00669010812665517	0.00833674204705772	0.0118506294000948
Visa_Fvencimiento_lag1	0.00657466660841533	0.00562505948222779	0.0121051984760968
Visa_fechaalta_lag1	0.00651304946514677	0.00441127313439757	0.0095243947400762
Master_Fvencimiento	0.00648845900003967	0.00585510796576701	0.0114117172000913
ctarjeta_visa_trx	0.00634638014178278	0.00671907966830086	0.0110781439280886
mcuenta_corriente_lag1	0.00629616743217876	0.00792162894637201	0.0108938008040872
mprestamos_personales_delta1	0.00625166000621293	0.00915252801177565	0.00324795028002598
mrentabilidad	0.0058826691958303	0.00481165078340031	0.00841833599606735
mrentabilidad_annual_lag1	0.00578614261221354	0.0066971842996007	0.00938394283607507
Visa_Fvencimiento	0.00570331610685728	0.00775675340992231	0.0105251145560842
Visa_fechaalta	0.00563575371758241	0.00583827209801343	0.0104548886040836
Master_fechaalta_lag1	0.00554847904242125	0.00622568238493409	0.0106041187520848
mcaja_ahorro_dolares_delta1	0.00552333388973865	0.0059360509126139	0.00620621850804965
mcuentas_saldo_delta1	0.00551294050593314	0.00823412045622514	0.00960339893607683
Master_Fvencimiento_lag1	0.00541521059521759	0.00389729721451813	0.010621675240085
mcaja_ahorro_lag1	0.00540133443359184	0.00572570395536813	0.00988430274407907
chomebanking_trx	0.00525540489345084	0.00443262547204455	0.00873435278006988
mcaja_ahorro_delta1	0.00471120974841692	0.00735152993651988	0.00809354096806475
ccaja_ahorro	0.00457745011310946	0.00382235664305245	0.00310749837602486
mcomisiones_mantenimiento	0.00456918501425827	0.00675547776108978	0.00465246932003722
mactivos_margen_delta1	0.00448551391408088	0.00418126816345047	0.00767218525606138
Visa_mpagominimo	0.00445527365794972	0.00687739791046263	0.00884846995207079
mcuenta_corriente_delta1	0.00428821419001719	0.00812168384201062	0.0080496497480644
mrentabilidad_delta1	0.0042632541477373	0.00422303339349831	0.00787408486806299
mtransferencias_recibidas	0.00421304245258493	0.00459970064241935	0.00664513070805316
cliente_antiguedad_lag1	0.00412416385988344	0.00475455372768375	0.00879580048807037
Master_mfinanciacion_limite	0.00409700053249179	0.004815420757055	0.00766340701206131
mcuentas_saldo_lag1	0.00402226897273505	0.00584852826744741	0.00757562457206061
mactivos_margen_lag1	0.00383413614295448	0.0063128397834211	0.00739128144805913
Visa_mfinanciacion_limite	0.00379551379825069	0.00451805638841802	0.00605698836004846
chomebanking_trx_delta1	0.0037835195216091	0.00628085254151917	0.00720693832405766
Visa_mpagospesos_lag1	0.00377220924469528	0.00564985830674574	0.00757562457206061
Visa_msaldototal	0.00376920242288124	0.00188610367594499	0.00388876209203111
mrentabilidad_lag1	0.00373707121537479	0.00359372182342955	0.00718060359205744
cliente_antiguedad	0.00368915155324558	0.00373448041044746	0.00804087150406433
Visa_mpagominimo_lag1	0.00367906222217064	0.0052233734834984	0.00658368300005267
cproductos	0.00360618068511221	0.00663832807017339	0.0072244948120578
mcaja_ahorro_dolares_lag1	0.00357179026747748	0.00416067291442452	0.00650467880405204
ccomisiones_mantenimiento_delta1	0.00355696432559365	0.00485179873193794	0.00144841026001159
mprestamos_personales_lag1	0.00351006184680532	0.0027029606143398	0.00143085377201145
Visa_fultimo_cierre	0.00344904947375662	0.00417691614219765	0.00672413490405379
Visa_mpagospesos_delta1	0.00344282232574614	0.00506284524364178	0.00799698028406398
Master_mfinanciacion_limite_lag1	0.00331252105096277	0.00529507210013728	0.0061623272880493
chomebanking_trx_lag1	0.00328768890303078	0.00312997498049882	0.00712793412805702
mtransferencias_recibidas_lag1	0.00325317400037131	0.00524574848136622	0.00638178338805105
mcomisiones_otras	0.00312958894471823	0.00253411346795043	0.00494215137203954
mpasivos_margen_lag1	0.00312639379278821	0.00480956309342933	0.00662757422005302
Visa_mpagospesos	0.00303141014909473	0.00447570712946313	0.00610087958004881
Visa_Finiciomora	0.0030287723939422	0.00611655112743191	0.00128162362401025
Visa_mfinanciacion_limite_lag1	0.00302448216738091	0.00284805300980927	0.0055127372320441
Master_fultimo_cierre	0.00298542726159024	0.00271735383300849	0.00568830211204551
mpasivos_margen_delta1	0.00298153605980448	0.00384466320955825	0.00661001773205288
Master_fultimo_cierre_lag1	0.00294397542923912	0.00388991013281255	0.0060745448480486
Visa_mconsumospesos_lag1	0.00294105707331698	0.00286670787156223	0.00589897996804719
Visa_cconsumos_lag1	0.00292231591476757	0.0038844388244268	0.00546006776804368
thomebanking	0.00291193937459276	0.00172608486109406	0.00159764040801278
Visa_mconsumospesos	0.00286866005969409	0.0026047276989751	0.0063378921680507
mcaja_ahorro_dolares	0.00281479062962229	0.00563297587823248	0.00590775821204726
mcomisiones	0.00277174118690711	0.00350627835441578	0.00500359908004003
Visa_mpagominimo_delta1	0.00272568449007316	0.00307107828664697	0.00539862006004319
mcuenta_debitos_automaticos	0.00264191432369444	0.00845050667167975	0.00416088765603329
ccomisiones_mantenimiento	0.00257404580785193	0.00302581482708359	0.00126406713601011
mtransferencias_emitidas	0.00255462735262072	0.00849173870101483	0.00661001773205288
cmobile_app_trx	0.00255150824303663	0.00298470365759279	0.0049245948840394
ccomisiones_otras	0.00249875096692596	0.00448534444467553	0.0040379922400323
Visa_mlimitecompra_lag1	0.00246011098644353	0.00358164406905375	0.00407310521603258
Visa_cconsumos	0.00243084085376831	0.00296484202629755	0.00489826015203919
ccomisiones_otras_lag1	0.00240008393907233	0.00421592148512041	0.00448568268403589
Visa_msaldopesos	0.00239488271675855	0.00363039425130007	0.0051879422040415
mtarjeta_visa_consumo_lag1	0.00237178548260538	0.00446522989167589	0.00316016784002528
Visa_mconsumospesos_delta1	0.00236050925676657	0.00345738605135636	0.00522305518004179
mtarjeta_visa_debitos_automaticos_lag1	0.0022963370811971	0.00489139267601911	0.00452079566003617
mpayroll_lag1	0.00226664524672124	0.0056828991477694	0.00439790024403518
Visa_mlimitecompra	0.00222065314892519	0.0023016790312432	0.00350251935602802
mcomisiones_mantenimiento_lag1	0.00216777236101516	0.00636715127120077	0.00402043575203216
Master_mlimitecompra	0.0021354993300576	0.00252880599857176	0.00382731438403062
mtransferencias_recibidas_delta1	0.00211241295147777	0.00373783004179379	0.00502115556804017
Visa_mconsumosdolares_lag1	0.00207164306962324	0.00369635949334609	0.00490703839603926
mcomisiones_lag1	0.00206315447026298	0.00149050517267628	0.00371319721202971
mcomisiones_otras_lag1	0.00205754225856366	0.00147118146675355	0.00400287926403202
Visa_msaldopesos_lag1	0.00198207513451452	0.00295348272501879	0.00341473691602732
mtransferencias_emitidas_delta1	0.00196821681272995	0.00404143522872039	0.0036868624800295
mtransferencias_emitidas_lag1	0.0019395819203497	0.00295958172731207	0.00479292122403834
mautoservicio	0.00192896849611146	0.00653168457463617	0.00402043575203216
mtarjeta_visa_debitos_automaticos	0.00191344496285345	0.00248495986072579	0.0038624273600309
cmobile_app_trx_lag1	0.00191326131395926	0.00359571677290211	0.00428378307203427
mtarjeta_visa_debitos_automaticos_delta1	0.0018987644555771	0.00498325210160055	0.003125054864025
Visa_msaldototal_delta1	0.00188461477282275	0.00252615531204999	0.00387998384803104
mpayroll_delta1	0.00186266315043777	0.00788361776330328	0.00455590863603645
ctransferencias_recibidas_lag1	0.00183790843245966	0.00280885136489478	0.00414333116803315
mcomisiones_otras_delta1	0.00181379525468353	0.00232649340141577	0.0036868624800295
Visa_mconsumosdolares	0.0018119020779793	0.00235402170758725	0.00387998384803104
Master_mlimitecompra_lag1	0.00179933631850105	0.00208331546948377	0.00301971593602416
ccallcenter_trx_delta1	0.0017877038016391	0.00271198677195375	0.00114117172000913
mcomisiones_delta1	0.00178742357909504	0.00259201257275972	0.00392387506803139
cproductos_lag1	0.00175890635574121	0.00264198217444375	0.00371319721202971
tcallcenter	0.0017567627434468	0.000762905667818125	0.000921715620007374
Visa_msaldopesos_delta1	0.00171813619984429	0.00264540511422022	0.00338840218402711
ccaja_ahorro_delta1	0.00171760199095965	0.00557127708013466	0.000553029372004424
mpagomiscuentas	0.00169409371045434	0.00314210333445633	0.00296704647202374
ctarjeta_visa_trx_lag1	0.00165830629285556	0.00511290240393935	0.00373075370002985
Visa_Finiciomora_lag1	0.00163145809152299	0.00558400173187371	0.00111483698800892
ccallcenter_trx	0.00155425063204032	0.00682585644496522	0.00246668656401973
cprestamos_personales	0.00155354637748939	0.00240166875798878	0.000965606840007725
ctransferencias_recibidas	0.00149143937727312	0.00273910654746622	0.00280903808002247
Visa_msaldototal_lag1	0.00148712433671272	0.00146875459193585	0.00289682052002317
mtarjeta_master_consumo	0.00144810005964491	0.00149317757739201	0.00136062782001089
