Feature	Gain	Cover	Frequency
ctrx_quarter	0.217143584952608	0.0188879685369148	0.0141321987806483
mcuentas_saldo	0.0432597971560579	0.014167258116405	0.0202114127812623
mtarjeta_visa_consumo	0.0367695943088967	0.0127340779454764	0.0163165051098732
mcaja_ahorro	0.0307509571780846	0.0065290236762337	0.0120707048554761
mdescubierto_preacordado	0.0212678966011722	0.00203568507462402	0.00157024430896092
foto_mes	0.0197382496918612	0.0153826351229857	0.0163252774244484
cpayroll_trx	0.0185139746270498	0.0087859617500723	0.00465809903943155
ctarjeta_visa	0.0184413260882049	0.000536243774701881	0.000596517391113645
mprestamos_personales	0.0170116955664312	0.0074733272692301	0.00309662704504584
mpayroll	0.0152668134534603	0.010966874560909	0.00565814290100443
mcuenta_corriente	0.0124733945830836	0.00666569935784417	0.00970217992017194
mdescubierto_preacordado_delta1	0.0111521148061886	0.00440664266194758	0.00110531163647528
Master_status	0.0101173405344984	0.00168554262350073	0.000798280626343261
cproductos_delta1	0.0100648712460037	0.00468456311911436	0.00162287819641212
mpasivos_margen	0.00957686150156325	0.00798649783262794	0.00944778279749112
mrentabilidad_annual	0.00863867872391171	0.00721891422724727	0.0115092767226633
numero_de_cliente	0.00862912325474721	0.00976602298213801	0.0163866836264748
Master_fechaalta	0.00838356390314621	0.00918695242717356	0.0124830036405105
mrentabilidad_annual_delta1	0.00838202842598874	0.00707132662765005	0.0136760384227378
cliente_edad_lag1	0.00828760181900592	0.0108897364454898	0.0152287381025484
ctrx_quarter_delta1	0.00807481293399378	0.00712629845576594	0.0119303478222729
mactivos_margen	0.00786257160806557	0.00844887241484979	0.0128602131672442
cliente_edad	0.00776953393562366	0.00776493418658341	0.0128251239089434
Visa_status	0.00662415676227168	0.00123848248000337	0.000728102109741655
Visa_Fvencimiento_lag1	0.00627571198210888	0.0058639693125797	0.0114741874643625
mprestamos_personales_delta1	0.00622251961979616	0.00881889222079092	0.00308785473047063
Master_Fvencimiento	0.00602970873256643	0.00573486996622562	0.0108952147023992
Visa_Fvencimiento	0.00597769281005657	0.00779095164035647	0.0113601473748849
Master_Fvencimiento_lag1	0.00590398360728027	0.00449006647533955	0.0112022457125313
mcuenta_corriente_lag1	0.00585328669578257	0.00709890334088576	0.00995657704285276
mcuentas_saldo_delta1	0.00572405333088066	0.00803678883156452	0.0101057063906312
Visa_fechaalta_lag1	0.00571971469867976	0.00463814548115462	0.00935128733716391
mrentabilidad_annual_lag1	0.00564613597287222	0.00620378224178632	0.0091670687310847
mcaja_ahorro_dolares_delta1	0.00564493690566106	0.00568169596945651	0.00639501732532129
mrentabilidad	0.0053926240521842	0.00436371619707741	0.00821965875696303
chomebanking_trx	0.00525718303104177	0.00454790658121966	0.00893021623755428
mcaja_ahorro_lag1	0.00512983876673739	0.00530923873376057	0.00928110882056231
Visa_fechaalta	0.00508806391248183	0.00547703393634004	0.00905302864160709
Master_fechaalta_lag1	0.00495294771584264	0.00528668049603762	0.0101232510197816
mcaja_ahorro_delta1	0.0047813299102166	0.00704811246978531	0.00799157857800781
mactivos_margen_delta1	0.00474873361619977	0.00378867756797059	0.0078950831176806
Visa_mpagominimo	0.00455920129145925	0.00703247693527047	0.00928110882056231
mactivos_margen_lag1	0.00455402805931339	0.00720344061348371	0.00807930172375981
mtransferencias_recibidas	0.00446686329109782	0.00467833973355509	0.00725470415369095
mcuenta_corriente_delta1	0.00446331817902961	0.00749248898466534	0.0078336769156542
Visa_mpagospesos_lag1	0.00441516402386207	0.00505739926309686	0.00836878810474144
ccaja_ahorro	0.00440570123166653	0.00393053059505374	0.00287731918066582
mcomisiones_mantenimiento	0.00434058526972187	0.00629585497240607	0.00447388043335234
Visa_mfinanciacion_limite	0.00429767591335735	0.004616015650808	0.00624588797754288
cliente_antiguedad_lag1	0.0042971532341946	0.00484317505835984	0.00837756041931664
mrentabilidad_delta1	0.00427367913608917	0.00417172646483057	0.00800035089258301
ctarjeta_visa_trx	0.00416592659670973	0.00681725222350787	0.0104390543444888
mcuentas_saldo_lag1	0.00401137932010512	0.00653711940871865	0.00772840914075179
cliente_antiguedad	0.00396956440249247	0.00355525511457184	0.0078512215448046
Master_mfinanciacion_limite	0.00388928148924629	0.00534854970579336	0.00707925786218694
Visa_mpagominimo_lag1	0.0038749230250107	0.00532552240889924	0.00701785166016053
chomebanking_trx_delta1	0.00380186831327516	0.00656454815857354	0.00738628887231896
ctrx_quarter_lag1	0.00359139678061551	0.00715013512760711	0.00839510504846704
